,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Cameroon,NA,NA,NA,NA,NA,NA,0.64379,0.78417,0.78332,0.78341,0.95843,0.8734,0.63257,0.69304,0.66522,0.69801,0.72617,0.73266,0.73292,1.0846092712,0.8679136721,0.9335561699,0.606250811,0.7083334904,0.9395815792,0.8808706466,0.7554419342,0.6038356165,0.5402739726,0.5277494247,0.7,0.7,0.7,NA,NA
Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.985253836,202.769565616,226.98299765,232.70569589,223.999402466,236.339398219,239.771719672,257.891845068,216.287456301,273.967741918,257.908859727,276.834865205,272.119020822,309.651443014,337.383393989,357.573693014,355.505815616,344.839726712,324.255650273,319.019016438,318,348,368,373,NA
Cape Verde,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Cayman Islands,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Central African Republic,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Chad,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Chile,15.215470699,14.674256841,13.326337554,13.687250437,13.817145111,13.139150278,13.6843268493,14.47321,13.8078298361,14.5178153425,13.3217653425,12.4672767123,13.606405082,14.5844461644,13.4673706849,14.1232308219,14.5498046448,14.6346082192,15.7356352055,16.6561831507,15.1619527869,17.4477590411,13.0039234247,16.6751563014,16.9398093443,15.637589863,12.095890411,12.6438356164,10.7896174863,11.0767123288,10,14,13,8.5,NA
China,NA,NA,NA,NA,NA,NA,3.815,47.671,47.90025,76.2741,86.3784,90.55,116.40739,123.18904,146.04185,175.45655,196.34137,198.13658,248.86723,245.479829726,311.481027339,311.913675726,340.5956612,393.753606666,475.691190049,466.211200827,566.1958944,618.188352508,612.343708124,597.208752537,686,695,694,NA,NA
Colombia,NA,NA,NA,NA,NA,NA,12.34124,11.82972,14.75097,15.8941,16.96079,16.61442,15.12425,15.64522,21.05297,27.58243,21.35916,22.01829,21.98591,26.1006685753,25.9930067978,26.5683318301,23.7802875671,27.7893195836,21.1029167978,21.6397658849,22.1440311671,22.1836239741,22.1836239741,20.5357130027,18,19,19,NA,NA
Comoros,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
